회사명,종목코드,티커,시장구분,업종,주요제품,상장일,결산월,대표자,홈페이지,주소지,alias
엔켐,348370,348370.KQ,KOSDAQ,기초 화학물질 제조업,2차전지 전해액,2021-11-01,12월,오정강,http://www.enchem.net,충청북도,엔켐
엔텔스,69410,069410.KQ,KOSDAQ,소프트웨어 개발 및 공급업,운용지원솔루션,2007-06-20,12월,최일규,http://www.ntels.com,서울특별시,엔텔스
엔투텍,227950,227950.KQ,KOSDAQ,특수 목적용 기계 제조업,반도체장비 부품 제조업,2015-11-18,12월,"김재섭, 이욱재 (각자대표)",http://www.n2tech.kr,경기도,엔투텍
엔피,291230,291230.KQ,KOSDAQ,기타 사업지원 서비스업,"브랜드 익스피어리언스, XR 콘텐츠, 메타버스",2018-09-13,12월,"백승업, 최지훈",http://www.npinc.co.kr,서울특별시,엔피
엔피디,198080,198080.KQ,KOSDAQ,전자부품 제조업,스마트폰 OLED용 FPCA,2020-03-16,12월,강명구,http://www.newportdisplay.co.kr,경기도,엔피디
엔피씨,4250,004250.KS,KOSPI,플라스틱제품 제조업,"산업용기프라스틱제품(플라스틱 파렛트,시트 파렛트) 제조,판매",1969-09-08,12월,"나창엽,양창영,심일식(각자 대표이사)",http://www.npc.co.kr,경기도,엔피씨
엔피케이,48830,048830.KQ,KOSDAQ,합성고무 및 플라스틱 물질 제조업,합성고무 및 플라스틱물질 제조업,2000-10-12,12월,최윤혁,http://www.npk.co.kr,경상북도,엔피케이
엘디티,96870,096870.KQ,KOSDAQ,반도체 제조업,"OLED구동IC,LED구동IC,LCD구동IC",2008-05-02,12월,정재천,http://www.ldt.co.kr,충청남도,엘디티
엘리비젼,276240,276240.KQ,KONEX,영상 및 음향기기 제조업,"디지털 사이니지, 키오스크 등",2018-07-05,12월,안덕근,http://www.elivision.com,인천광역시,엘리비젼
엘브이엠씨,900140,900140.KS,KOSPI,자동차 판매업,지주회사,2010-11-30,12월,"이창엽, 변성현 (각자 대표이사)",http://www.lvmcholdings.net,케이맨 제도,엘브이엠씨
엘앤씨바이오,290650,290650.KQ,KOSDAQ,의약품 제조업,"인체조직(피부, 뼈, 연골)",2018-11-01,12월,"이환철, 이재호 (각자 대표이사)",http://www.lncbio.co.kr,경기도,엘앤씨바이오
엘앤에프,66970,066970.KS,KOSPI,일차전지 및 이차전지 제조업,이차전지 양극활물질,2024-01-29,12월,최수안,http://www.landf.co.kr,대구광역시,엘앤에프
